title,genre,platform,keyword,multiplayer_mode,release_date,storyline,total_rating,total_rating_count
Anno 1602: Creation of a New World,"11,13,15",6,"4,72,606,1143,2002,3533,4767,5418,5476,5818,6645,8146,9471",,906595200,"It is the year 1602 and you find yourself in command of a sailing vessel, navigating the waters of the uncharted island world of Anker. You have aboard your ship no more than an handful of trusty followers and a limited supply of food and building materials. You are here to begin a new life. As you select which island to settle, your future is already sealed, for each one has its own special characteristics. Your goal is to create a whole new world. Explore, construct, settle, trade and defend - that is the challenge that lies before you!  Anno 1602 takes you into the world of construction strategy games. Build a realistic, living world for yourself according to your own ideas; your chosen strategy will decide the development and destiny of your towns and villages. Prove your diplomatic skills in your dealings with natives, your comrades and pirates too. Start by building up farms, plantations and small workshops to produce, then use your business acumen and begin to generate trade with your fellow players. But beware, for with riches and prosperity also comes envy and anger! Train soldiers and build defensive structures to protect your property and wealth, or perhaps it may be wise to put your negotiation skills to use outside of business?",87.29351538604652,73
Crusader Kings III,"12,13,15","169,3,6,167,14","149,151",14093,1598918400,"But uneasy lies the head that wears a crown! Your cunning is your greatest weapon, and intelligence is the key to all successful strategy. Guard your life and the future of your dynasty, because enemies foreign and domestic envy your status. Engage in espionage, join political factions, punish heretics or use assassins to make sure your throne passes safely to the next generation.",87.27753200880917,179
Grand Theft Auto V,"5,33","169,48,6,167,49","155,1669,4471","24400,24401",1428969600,"This bundle contains the original version of Grand Theft Auto V, the standalone game Grand Theft Auto Online and the story mode add-on of Grand Theft Auto V.",87.23919430488053,272
Dungeon Keeper 2,"11,12,15",6,"115,147,151,211,226,497,592,729,993,994,1181,1333,1345,1392,1528,1754,1779,1905,2066,2071,2177,2488,3002,3182,3222,4353,4392,4398,4404,4520,4767,4869,4886,5659,6074,6456,6870,10881,46438",,930268800,"Like its predecessor, players take the role of a dungeon keeper, building and defending an underground dungeon from the would-be heroes that invade it, as well as from other keepers. In the game's campaign mode, the player is charged with recovering the portal gems from each area in order to open a portal to the surface.",87.23094294055791,147
SSX Tricky,"10,14","11,21,8","917,1186,1440,1675,1710,2071,2152,4282,4452,4803,5278,5287,6487,6795,9529,11469,11538",,1004918400,"SSX Tricky is a snowboarding video game, the second game in the SSX series published by EA Sports Big & developed by EA Canada. The game was developed under the working title SSX 2.",87.22878825188715,70
The Legend of Zelda: The Minish Cap,"9,31","37,41,24","16,226,394,472,558,687,698,729,1033,1180,1181,1228,1289,1299,1320,1345,1379,1381,1705,1935,1986,2199,2280,2324,2472,3002,3203,3486,3502,3831,4134,4138,4162,4213,4285,4329,4347,4388,4392,4396,4397,4398,4403,4405,4410,4484,4522,4587,4622,4725,4760,4787,4790,4843,4852,4856,4879,4891,4903,4918,4991,4997,5000,5100,5105,5110,5329,5386,5422,5441,5517,5518,5535,5587,5599,5659,5731,5803,5840,5967,6007,6062,6141,6145,6461,6541,6663,6673,7080,7226,7305,7396,7423,7576,7603,8299,9156,9373,9739,9750,9843,10006,12763,15193,23933,29768,29770,30703,31533,39992",,1099526400,"While at a festival with Princess Zelda, Link encounters a mysterious mage called Vaati who turns the princess to stone. Helpless to stop them, Link is asked by the king to meet with a race of tiny people known as the Minish, who may be able to help with their predicament. On his travels, Link teams up with a talking cap called Ezlo, who is able to shrink Link to the size of a Minish so that he can meet with them. With his newfound abilities, Link must save the kingdom from Vaati's menace.",87.22109523167148,407
The Witcher 2: Assassins of Kings - Enhanced Edition,"12,31","3,6,14,12","22,151,211,221,226,510,537,592,729,1113,1313,1320,1345,1538,1887,1961,2066,2071,2668,3222,4004,4850,4855,4879,5593,6493,46438",,1334534400,"All existing owners of The Witcher 2 received free upgrades to the Enhanced Edition, and could pre-load the update starting 11 April 2012. All new copies on PC and Xbox 360 shipped with the additional content on board. The Witcher 2: Assassins of Kings - Enhanced Edition added over 10GB of new content, including four hours of gameplay, arena mode, new tutorial, 36 minutes of cinematics including a new intro created by Platige Image and an outro, as well as a host of fixes to gameplay and the interface.",87.21241257253138,225
Battlefield 2,5,6,"1,21,25,558,562,563,660,1107,1158,1329,1333,1352,1821,3627,3831,3988,4221,4259,4340,4353,4520,4580,4730,4770,4891,4901,4918,4984,4989,4990,4996,5307,5310,5323,5386,5455,5481,5523,5560,5675,5732,5789,5886,5941,6021,6036,6254,6296,6298,6315,6339,6367,7026,7341,7410,8148,9530,9853,9989,10095,10367,10460,10613,11104,11312,11414,11444,11926,15018,23933",13356,1119312000,"In Battlefield 2, players will choose to fight for one of three military superpowers: the United States, the Chinese, or the newly formed Middle East Coalition. Armed with the latest modern weaponry, players can take control of any of the game’s 30+ vehicles to engage in major conflicts with over 64 players in some of the largest online battles on the PC. Additionally, persistent character growth allows players to rise through the ranks and attain the ultimate rank of General.",87.21154493274977,349
"WarioWare, Inc.: Mega Microgame$!",33,"37,41,24","3,20,57,274,403,413,758,971,1299,1705,1935,2152,4134,4138,4213,4313,4328,4329,4522,5164,5408,5437,5601,5722,6368,6494,7597,9184,10740,15193,15271,23983,30490,31533",14644,1048204800,Frantic action! Prepare for lightning-quick game play as you blaze through over 200 bizarre microgames designed by a crazy crew of Wario's cronies! There are even two-player contests that can be played on a single Game Boy Advance! Pick up and play! Ultra-simple controls make each game easy to get into...until the games start coming faster... and faster...and FASTER!,87.20713118821969,98
Rise of Nations,"11,15","6,14","1,19,21,64,151,509,623,994,1012,1107,1138,1158,1162,1299,1494,1821,1928,2016,2177,2841,4004,4134,4150,4151,4259,4392,4767,5173,5500,5671,5825,6019,8146,8696,9321,9996,10700,10739,31502",,1053388800,"Combining the deep tactical elements of turn-based strategy games with the rapid gameplay of real-time strategy, Rise of Nations puts you in command of one of 18 civilizations over the course of thousands of years of history.",87.20244735392589,187
The Legend of Zelda: Oracle of Seasons,"9,12,31","22,37","4,170,226,236,394,472,558,976,1033,1180,1181,1289,1313,1320,1379,1381,1422,1705,1935,1986,2199,2280,2472,3486,4031,4134,4138,4162,4285,4300,4329,4388,4392,4396,4405,4484,4522,4587,4613,4725,4780,4787,4852,4879,4918,4991,5004,5105,5209,5587,5901,6062,6541,6648,6664,7215,7423,7612,8305,9373,9395,9843,26191,30367,37362,39988",,983232000,"The land of Holodrum is slowly withering. Onox, the General of Darkness, has imprisoned the Oracle of Seasons and is draining the very life out of the land. With the seasons in tumult and the forces of evil running rampant, the world looks for a hero... and finds Link. His quest won't be easy - he'll have to master the seasons themselves if he's to turn back the evil tide.",87.15638209734205,186
Psychonauts 2,"8,31","169,48,3,6,167,14,49","158,1204,1212,1439,1495,1511,1721,1754,1878,2071,2226,2231,3001,3138,4154,4287,4484,4957,9000,15078,17092,17268,19452,23856,23933,26965,39007,39009,39024,39034,39049,39050,42064",,1629763200,"Razputin Aquato, trained acrobat and powerful young psychic, has realized his life long dream of joining the international psychic espionage organization known as the Psychonauts! But these psychic super spies are in trouble. Their leader hasn't been the same since he was kidnapped, and what's worse, there's a mole hiding in headquarters. Raz must use his powers to stop the mole before they execute their secret plan--to bring the murderous psychic villain, Maligula, back from the dead!",87.13740158789389,191
Valheim,"12,31,32","169,3,6,167,14,49","72,367,487,510,953,1096,1403,1905,29411",13940,1612224000,"Explore a world shrouded in mystery. Discover distinct environments with unique enemies to battle, resources to gather and secrets to uncover! Be a viking, sail the open seas in search of lands unknown, and fight bloodthirsty monsters. Raise viking longhouses and build bases that offer reprieve from the dangers ahead. Customise buildings, both inside and out, with a detailed building system. Progress through building tiers to upgrade, expand and defend your base. Struggle to survive as you gather materials and craft weapons, armor, tools, ships, and defenses. Decorate your hearths and sharpen your blades, grow crops and vegetables, prepare food, brew meads and potions, and progress as you defeat more difficult bosses and discover new recipes and blueprints.",87.13082484748062,256
Dave the Diver,"12,13,31","169,48,508,6,167,14,130","72,98,138,283,288,403,509,510,574,606,758,994,1061,1103,1148,1293,1356,1494,1511,1566,1705,1780,2147,2251,2347,2426,2657,3430,3486,4004,4135,4150,4276,4397,4399,4767,4940,4960,5359,6859,16877,17292,18437,23111,23933,24235,27179,33141,37861,38859,38887,41782,41929,42066,42298,44629,44930,46408,46439,47044,47505,47576,49376,49495,49496",,1687910400,"Former arms dealer Cobra discovers that every time he enters the Blue Hole, the ecology and terrain change, presenting a lucrative opportunity. He convinces the ever-optimistic Dave (the playable protagonist) and Bancho, a sushi chef specializing in rare sea creatures, to open a sushi restaurant nearby. While investigating the interior of the Blue Hole at the request of archaeologist Bacon, Dave finds that the descendants of ancient Sea People—who still live in the deep—are under threat. Realizing that this could be catastrophic not only for the hidden village but for the Earth itself, Dave dives deeper in search of a solution.",87.13008331600759,152
Pokémon Gold Version,"12,16,31","22,37","72,78,98,110,247,249,274,415,488,511,521,621,729,953,1228,1563,1601,1705,1986,2071,2111,2199,2452,2606,3486,4249,4284,4285,4353,4370,4388,4522,4541,4725,4823,4852,4879,4891,5329,5476,5494,5518,5594,5599,5703,5734,5998,6117,6189,6248,6325,6541,6542,6623,6642,6653,6736,6779,6780,7080,7166,7315,7387,7416,7423,7454,7741,7742,8220,8221,8356,8362,8399,8518,8784,9000,9676,9678,9843,10176,11756,12502,13521,14114,14164,29250,30367,37362,43999",34171,943142400,"Pokémon Gold, along with Pokémon Silver, are the sequels to Pokémon Red and Blue. They offer 100 new Pokémon to capture and train, 8 more Gyms to take on and a new Pokémon League challenge. Featuring an expanded post-game, Pokémon Gold and Silver additionally offer extra content from the previous entries in the series.",87.12323643534344,379
Outer Wilds,"9,13,31,32","169,48,6,167,49,130","23,72,170,4090",,1559001600,"Welcome to the Space Program! You're the newest recruit of Outer Wilds Ventures, a fledgling space program searching for answers in a strange, constantly evolving solar system. What lurks in the heart of the ominous Dark Bramble? Who built the alien ruins on the Moon? Can the endless time loop be stopped? Answers await you in the most dangerous reaches of space.  The planets of Outer Wilds are packed with hidden locations that change with the passage of time. Visit an underground city of before it's swallowed by sand, or explore the surface of a planet as it crumbles beneath your feet. Every secret is guarded by hazardous environments and natural catastrophes.  Strap on your hiking boots, check your oxygen levels, and get ready to venture into space. Use a variety of unique gadgets to probe your surroundings, track down mysterious signals, decipher ancient alien writing, and roast the perfect marshmallow.",87.12300035391144,707
Maniac Mansion,"2,31","15,63,6,14,13,16,75","3,359,962,989,1186,1313,1705,1754,1961,2115,4138,4162,4286,4352,4396,5264,5358,5408,5425,5541,5587,5703,6248,6539,7028,7048,7226,7558,7643,8218,9273,9932,11025,14178,23933,50501",,560044800,"The game takes place in the mansion of the fictional Edison family: Dr. Fred, a mad scientist; Nurse Edna, his wife; and their son Weird Ed. Living with the Edisons are two large, disembodied tentacles, one purple and the other green. The intro sequence shows that a sentient meteor crashed near the mansion twenty years earlier; it brainwashed the Edisons and directed Dr. Fred to obtain human brains for use in experiments. The game begins as Dave Miller prepares to enter the mansion to rescue his girlfriend, Sandy Pantz, who had been kidnapped by Dr. Fred. With the exception of the green tentacle, the mansion's inhabitants are hostile, and will throw the player characters into the dungeon—or, in some situations, kill them—if they see them. When a character dies, the player must choose a replacement from the unselected characters; and the game ends if all characters are killed. Maniac Mansion has five possible endings, based on which characters are chosen, which survive, and what the characters accomplish.",87.11842580811474,132
Fable,"12,31",11,"4,16,151,221,226,509,729,770,977,1033,1299,1313,1320,1440,1675,2016,2052,2199,2242,2452,2471,2472,3222,3486,4221,4239,4272,4284,4287,4353,4388,4392,4410,4541,4613,4725,4776,4801,4843,4850,4852,4855,4878,4879,4891,4918,4991,5323,5329,5476,5517,5564,5594,5595,5659,5783,5806,5909,6383,6471,6608,6687,7048,7315,8150,8828,8866,9596,9781,10326,11635,12708,12866,13034,13066,13295,15132,15398,23856,23933",25468,1095120000,"On his sister's birthday, a young boy's village of Oakvale is raided by bandits; killing the boy's entire family. An old Hero, Maze, rescues the boy, seeing great potential in him; Maze trains the boy to become a Hero at the Heroes' Guild. Years pass; after honing his skills, Maze informs the Hero of a blind seeress living among a bandit camp near Oakvale, and advises the Hero to infiltrate the bandit camp. To the Hero's surprise, the blind seeress is actually his older sister Theresa who was taken in by Twinblade, a former Hero and the present Bandit King. After a showdown with Twinblade, the Hero is given the choice of killing or sparing the bandit.  Later on in the Hero's life, after he has gained more recognition among the people of Albion, he is invited to fight in the Arena, where he meets the legendary Hero named Jack of Blades, who runs the arena battles. As a final challenge, Jack pits the Hero against his rival, which was also once his childhood friend/room-mate back in the Guild - Whisper; when the Hero defeats her he may kill or spare her.  The Hero learns that Jack of Blades himself destroyed Oakvale during the Hero's childhood; aided by Theresa, the Hero discovers his mother alive in Bargate Prison. The Hero is captured in the rescue attempt and spends a year or more in the prison before finally escaping. Maze is revealed to be a traitor and working with Jack. Maze kidnaps Theresa. After defeating Maze, the Hero is led into a final confrontation with Jack where his mother is killed. Jack reveals that The Sword of Aeons can only be wielded if it receives the blood of Archon. The Sword of Aeons is said to be a very powerful sword of destruction. Upon the death of their mother, the Hero and Theresa are the only two remaining descendants of Archon, and if Jack destroys them both the sword will be even more powerful. After defeating Jack, the Hero must choose whether to keep the Sword of Aeons by killing his sister, or cast it away forever into a portal created by Jack of Blades' death.  Depending on the Hero's alignment and the player's choice of using or destroying the sword, there are a total of four different endings. Once the ending credits roll, players can resume their games.  In The Lost Chapters special edition, the story continues. After the defeat of Jack, the Hero must find passage to the Northern Wastes to aid a legendary hero named Scythe in stopping an unknown great evil from returning. Should the hero have discarded the Sword of Aeons he will have the opportunity to gain the sword ""Avo's Tear"", a sword of similar design and equal power but that holds a light alignment rather than dark. Avo is said to be a god that represents the light side alignment. After a series of quests revolving around this new evil, it is learned that Jack of Blades has returned. He must then defeat Jack of Blades a second time, Jack having returned from the dead in the form of a dragon. Upon the death of Jack, the hero then uses Jack's mask to capture Jack's soul, with Scythe telling him that the battle is not over and that he must destroy the mask. The hero then has the final choice of putting on the mask - being consumed by Jack in the process - or destroying it, along with Jack, forever.",87.10362207393234,311
Shogun: Total War,"11,15,16,24",6,"164,253,415,563,623,1107,1143,1162,1538,2458,4250,4392,4541,4851,4918,9471,10739",,960854400,Japan 1542 - A nation divided by warfare. One determined warlord will master the Art Of War and lead his Samurai troops in a brutal quest to unite the country. He will rise to become Japan's supreme ruler. He will rise to become SHOGUN.,87.09677531798755,61
King's Bounty: The Legend,"12,13,15,16","6,14","1,4,8,16,151,211,226,353,413,415,592,669,992,994,1069,1107,1158,1190,1320,1756,1923,2066,2335,2806,2841,3433,4134,4235,4248,4259,4359,4787,4851,5029,5262,5792,6636,7166,12357",,1222128000,"A hero (warrior, mage or paladin), and an army of his loyal companions in arms travel across a huge continent composed of dozens of linked locations. Setting kings upon the throne, overthrowing them, saving princesses from the claws of dragons, searching for pirates on the high seas, finding treasure chests, vanquishing villains who are attempting world domination… These are the everyday challenges the player – the Hero - will face in King’s Bounty: The Legend.",87.06832955514423,83
Homeworld,"11,15,31","3,6,14","23,24,51,392,604,947,1162,4221,4250,4345,4359,4767,5671,6057,9927",,938476800,"Homeworld is a 3D real-time strategy game set in space and focusing on the conflict between the Kushan, who are attempting to locate their long-lost homeworld, and the Taiidan Empire which is trying to destroy them.",87.06180046954188,66
Thief Gold,"13,31",6,"5,72,223,906,1127,1697,2426,5836",,941500800,"Having received training from an enigmatic organization known as the Keepers, Garrett leaves the order and goes back to the life of a thief on the streets of the City. Once you enter the underworld you have to deal with all the consequences - you are not the only one out there looking for decent loot. Hide in the shadows of the dark, savage city. Sneak into old ruins, haunted cathedrals and mansions of the rich. Incapacitate your enemies quietly or in an open fight. This unique sneak-em-up game provides you with a range of means to achieve your goal. Remember though - secrecy is your best friend.",87.0493975373539,59
Dead Space,"5,12,31","169,6,167","49313,49376",,1674777600,"Isaac Clarke is an everyman engineer on a mission to repair a vast, sprawling starship, the USG Ishimura, only to discover something has gone horribly wrong. The ship's crew has been slaughtered and infected by some alien scourge...and Isaac’s beloved partner, Nicole, is lost somewhere on board.  Now Isaac is alone with only his tools and engineering skills as he attempts to uncover the nightmarish mystery of what happened aboard the Ishimura. Trapped with hostile creatures called “necromorphs”, Isaac faces a battle for survival, not only against the escalating terrors of the ship, but his own crumbling sanity.",87.04646743184227,191
The Longest Journey,"2,9,31","6,39","103,170,205,215,223,226,429,589,729,923,962,1079,1158,1193,1228,1302,1523,1638,2069,2170,2184,4134,4138,4162,4239,4285,4287,4345,4403,4615,4843,4879,4915,4940,5023,5214,5264,5387,5422,5541,5661,5938,6048,6062,6141,6461,6539,6620,6828,6846,6870,7048,7080,7107,7112,8205,8311,8896,9344,9374,9661,11818,15524,23856,50501",,942969600,"With the power to pass between worlds like others pass from waking to sleep, April must embark on the longest journey of her life; a journey not only across twin worlds, but also into her very own heart and soul. Embark on a voyage across phenomenal worlds, encounter a fantastic cast of unforgettable characters, and unravel one of the most epic stories ever told.",87.02285217083967,189
Castlevania: Aria of Sorrow,"8,12,31","41,24","137,211,477,558,623,826,1033,1059,1288,1289,1313,1320,1716,1961,3486,3831,4134,4284,4388,4407,4465,4522,4541,4613,4622,4709,4879,4891,5105,5308,5441,5531,5963,6088,6126,6486,6648,7423,7576,7597,8295,9777,23933,30490,30703",,1052179200,"The year is 2035 and Soma Cruz is about to witness the first solar eclipse of the 21st century when he suddenly blacks out -- only to awaken inside a mysterious castle. As Soma, you must navigate the castle's labyrinths while confronting perilous monsters at every turn. But beware, you must escape before the evil consumes you!",87.01793257165122,223
The Chronicles of Riddick: Escape from Butcher Bay,"5,9,31","11,9,6,14,12","129,167,274,429,558,660,729,947,977,1033,1286,1440,1931,3203,3486,4142,4287,4388,4403,4484,4514,4541,4580,4613,4615,4777,4891,4990,4999,5029,5164,5214,5264,5414,5542,5593,5782,5812,5909,5999,6075,6295,6340,6541,6621,6735,6752,6828,7048,7215,7316,7419,7498,7570,9376,9529,11030,12866,15132,23933",,1086048000,"The game's protagonist is Richard B. Riddick (Vin Diesel), a murderer recently confined in Butcher Bay. Riddick is resourceful, and seeks to break out of the prison by any means necessary. His capturer is the bounty hunter William J. Johns (Cole Hauser); the two have had previous encounters.[6] Butcher Bay's warden is a man named Hoxie (Dwight Schultz), while Abbott (Xzibit) is a prison guard disliked by the inmates. The inmate Pope Joe (Willis Burks II) is an insane old man, who lives in the sewer tunnels beneath the prison.",87.01169327582204,146
The Talos Principle,"9,31,32","48,3,34,6,39,14,49,130","274,575,603,816,1102,1158,1228,1313,1317,1395,1440,1523,1699,1710,1898,1986,2024,2628,3203,3630,3831,4004,4134,4138,4275,4287,4329,4359,4398,4403,4410,4484,4578,4586,4613,4711,4777,4836,4850,4869,4940,4991,4998,5004,5151,5158,5164,5214,5255,5257,5316,5387,5408,5414,5535,5599,5659,5731,6735,7112,7215,7576,8221,8979,9283,9341,10587",,1418256000,"As if awakening from a deep sleep, you find yourself in a strange, contradictory world of ancient ruins and advanced technology. Tasked by your creator with solving a series of increasingly complex puzzles, you must decide whether to have faith, or to ask the difficult questions: Who are you? What is your purpose And what are you going to do about it?",86.98890252140285,440
Tearaway,"8,31",46,"58,182,271,1033,1834,2231,2574,4221,4359,4368,4407,4484,4510,5288,5305,5306,5386,5574,5885,7152,7221,7303,8908,9364,19132",,1384905600,"Atoi is created from an envelope and some paper. Now she's on an adventure to reach the Face in The Sun to deliver her message!  Oh, wait, she's being attacked by Scraps, and You need to help her! After you help her, she has to find hidden Scraps that are shadowing the sky.  She finds a Guide that is asking Atoi to move into Wassail Orchard to reach the Sun.",86.98317755097003,59
Gears of War 2,5,12,"3,69,129,558,563,575,701,1060,1107,1188,1293,1317,1333,1373,1440,1675,1710,1779,1971,2071,2242,3486,3831,3988,4134,4179,4210,4239,4287,4310,4345,4353,4359,4468,4484,4541,4578,4613,4614,4615,4730,4770,4777,4780,4843,4869,4890,4891,4897,4901,4903,4918,4927,4956,4974,4990,4999,5000,5025,5029,5100,5106,5175,5176,5260,5277,5310,5311,5425,5451,5453,5523,5560,5612,5633,5640,5675,5691,5736,5783,5803,5850,5905,5941,5944,5987,5989,6022,6036,6137,6152,6278,6295,6324,6328,6339,6369,6471,6502,6692,7026,7062,7114,7195,7215,7357,7488,7570,7593,7668,8149,8196,8311,8687,8854,9071,9075,9156,9161,9311,9341,9360,9366,9529,9530,9578,9661,9853,10098,10325,11275,11531,11635,12015,12763,13477,14608,23933,38289",1719,1226016000,"In Gears of War 2, The COG continues its fight against the Locust horde, who are attempting to sink all of the cities on the planet Sera by using a big riftworm to eat the ground beneath them. Sergeant Marcus Fenix leads Delta Squad into the depths of the planet to try to stop the worm from eating but instead they discover the true intent of the Locust actions.",86.95285860048267,428
Metroid Prime 3: Corruption,"5,8,31",5,"3,4,137,167,477,558,575,947,962,1033,1289,1299,1313,1440,1710,1986,2071,2155,2199,3486,3831,4138,4282,4285,4359,4397,4405,4438,4621,4709,4877,4885,4903,4918,4928,5029,5114,5194,5209,5277,5323,5386,5387,5441,5537,5594,5673,5727,5844,5962,6062,6096,6137,6230,6304,6326,6340,6616,6648,6664,6730,6735,6864,7158,7344,7416,7593,8262,8311,9256,10031,10336,11926,12661,13223,48048",,1188172800,"The Galactic Federation's Base Sector Zero is under attack by Space Pirates. Samus must boot up the generator to restore the defense systems. But at the end of her path, someone awful is waiting for her. The war initiated by Dark Samus and the Space Pirates rages across many planets as they attempt to corrupt each with Phazon seeds. Players use the Wii Remote and Nunchuk to explore alien landscapes, hunt for weapons and information, and destroy the seeds. Saving the planets from Corruption isn't enough, though. Eventually, players must take down Samus' mortal enemy, Dark Samus. Besides using the Wii Remote and Nunchuk controllers to pull off amazing feats like aiming and blasting in midair or at a full run, players also will have an array of different weapons at their disposal.",86.92656121373672,141
Zero Escape: Virtue's Last Reward,"2,9,31,34","48,37,6,46,49","78,129,131,170,221,274,283,558,575,669,1313,1317,1914,1931,2426,2498,2606,2628,3203,4138,4250,4287,4359,4398,4510,4583,4615,4621,4622,4637,4726,4787,4850,4855,4998,4999,5029,5328,5466,5541,5587,5611,5731,5963,6391,6460,6461,6471,6541,6714,7185,7348,7397,7454,7576,7603,7627,7642,8311,9329,23560",,1329350400,"""He awoke in an elevator.  Across the room was a strange girl he’d never met before, even though she seemed to know him...  “Sigma...”  “How do you know my name?” he asked, but before she could answer a rabbit appeared. “This elevator is about to fall!”  Sigma and the girl left the elevator only to find themselves in a massive room with seven other strangers...nine people in all.  The strange rabbit told them that they would have to play the Ambidex Game-a game of betrayal.  The penalty for losing was death.  Could these nine strangers trust one another long enough to escape their prison alive?""",86.9238098627159,143
Dark Souls: Remastered,"12,31","48,6,49,130","226,250,1065,1320,8818,17326,40744",14131,1527033600,"Dark Souls Remastered is a remastered version of the original game Dark Souls. The updated version of the game features graphical enhancements, an expanded online mode, and the Artorias of the Abyss DLC.",86.92005734357696,512
Dragon Quest VIII: Journey of the Cursed King,"12,15,16,31",8,"78,226,236,274,415,558,623,698,729,992,1186,1208,1289,1313,1440,1523,1756,1881,2071,2111,2199,2242,2452,2472,2668,3002,3486,3831,4266,4284,4287,4353,4388,4392,4468,4541,4545,4613,4709,4787,4823,4850,4852,4856,4891,4962,4965,4984,4990,5018,5105,5307,5316,5329,5453,5564,5661,5703,5963,6048,6062,6064,6117,6385,6391,6461,6541,6620,6642,6859,7048,7080,7166,7313,7315,7348,7396,7416,7423,7620,8149,8308,8866,9182,9404,9529,9637,9661,9781,9843,10516,10804",,1101513600,"The court jester Dhoulmagus of the kingdom of Trodain stole a powerful magical scepter sealed beneath the royal castle. Using the power of the scepter, Dhoulmagus destroyed the castle, placed a curse upon the kingdom and its people, and turned King Trode into a troll and the princess into a horse. A sole surviving castle guard journeys with the king, the princess, a reformed bandit named Yangus and a few other companions in search of the evil jester and a way to break the curse.",86.91954225481815,123
Tunic,"9,12,31,32","169,48,6,167,14,49,130","72,227,250,905,1119,1204,1293,1387,1697,1953,2137,2245,2760,3138,3403,4004,4074,4134,4135,4150,4154,4162,4882,4891,4991,5436,6648,16877,17326,26969,41334,42105,42581,44629,45931,46439,49513",,1647388800,"Tunic is an action adventure game about a small fox in a big world, who must explore the countryside, fight monsters, and discover secrets. Crafted to evoke feelings of classic action adventure games, Tunic will challenge the player with unique items, skillful combat techniques, and arcane mysteries as our hero forges their way through an intriguing new world.",86.91305877794179,209
Rhythm Heaven,7,20,4137,,1217462400,Rhythm Heaven puts the music in your hands and some rhythm in your life. Let the music move you as you tap and slide your stylus on the touch screen to the beat of more than 50 musical rhythm games. The controls are as natural as tapping your finger to music.,86.90358734091615,65
GoldenEye 007,5,4,"6,21,129,1173,1286,1478,1821,1834,3087,3988,4142,4210,4359,4877,5311,5323,5812,5904,5987,6419,6752,9311,9441,11215,26906,30703,31533,37741,42805",14452,872294400,"GoldenEye 007 is a first-person shooter based on the 1995 James Bond film. The game features a single-player campaign with 20 missions across multiple difficulty levels, emphasizing stealth, varied objectives and mission-based progression. Players can use a range of weapons and gadgets while navigating diverse environments inspired by the movie.  The local split-screen multiplayer mode supports up to four players and offers competitive scenarios such as deathmatch, team modes and character selection from the James Bond universe. The multiplayer component became widely recognized for its influence on console FPS design and is considered a landmark feature of the game.",86.90261296739132,393
Dead Space,"5,9","9,6,12","3,72,98,129,137,274,558,563,947,977,1032,1033,1061,1102,1158,1289,1293,1320,1322,1396,1440,1618,1836,1898,1971,2115,2141,2199,2498,3087,3203,3486,3540,3831,4132,4135,4138,4213,4221,4245,4266,4287,4353,4359,4388,4397,4398,4407,4520,4541,4544,4580,4583,4613,4614,4615,4618,4621,4623,4637,4709,4711,4770,4776,4777,4843,4869,4878,4885,4891,4918,4990,4991,4992,4997,4998,5025,5029,5110,5174,5175,5176,5257,5260,5264,5308,5339,5425,5533,5587,5594,5595,5599,5601,5626,5633,5651,5661,5675,5703,5704,5735,5783,5821,5850,5896,5904,5963,5967,5989,6019,6062,6137,6246,6299,6304,6326,6370,6457,6471,6494,6541,6620,6648,6736,6779,6863,6998,7039,7062,7116,7185,7215,7348,7369,7387,7473,7480,7568,7593,7612,7653,8275,8286,8306,8311,8801,8802,8854,8901,8969,8983,8993,9045,9261,9395,9431,9529,9739,9899,9989,10618,11349,11853,13595,13941,14631,23933,24168",,1223942400,"Engineer Isaac Clarke is dispatched on a repair mission to the USG Ishimura, a mining vessel suffering a communications blackout. Isaac, accompanied by Chief Security Officer Zach Hammond, and Computer Specialist Kendra Daniels, become stranded on a seemingly derelict ship, where a newborn horror awaits them.",86.8828085019308,1165
Rome: Total War,"11,13,15,16,24","34,6,39,14","22,35,262,293,392,415,623,994,1103,1158,1162,1313,1336,1886,1935,2177,3433,4221,4250,4285,4287,4353,4392,4397,4399,4541,4851,4861,4891,5403,5657,5671,6636,7095,7161,8146,9471,9604,9733,10046,10700,10739,15398",,1095811200,"Set during the rule of the late Roman Republic and the early Roman Empire, Rome: Total War is a real-time tactics and turn-based strategy game that takes place across Europe, North Africa and the Near East. The player assumes control of one of three Roman families with eight other factions playable outside the main campaign. The main goal of the campaign is to become emperor of Rome by conquering fifty provinces with the support of the people before capturing Rome itself although a short campaign is also available wherein success depends on besting other factions in a race to seize control of 15 provinces.",86.88069188473604,305
